QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS
2016-01-20,198.7,2017-01-20,98.69,101.35,100.0,0.66501,0.5
2016-01-20,198.7,2017-01-20,93.41,96.81,105.0,0.6198,0.53
2016-01-20,198.7,2017-01-20,88.95,92.95,110.0,0.60774,0.55
2016-01-20,198.7,2017-01-20,84.95,87.35,115.0,0.57375,0.58
2016-01-20,198.7,2017-01-20,80.1,83.15,120.0,0.55059,0.6
2016-01-20,198.7,2017-01-20,76.26,79.19,125.0,0.54582,0.63
2016-01-20,198.7,2017-01-20,73.3,75.31,130.0,0.55037,0.65
2016-01-20,198.7,2017-01-20,69.45,72.1,135.0,0.54829,0.68
2016-01-20,198.7,2017-01-20,65.65,67.55,140.0,0.53005,0.7
2016-01-20,198.7,2017-01-20,61.0,64.36,145.0,0.51739,0.73
2016-01-20,198.7,2017-01-20,58.64,60.81,150.0,0.52003,0.75
2016-01-20,198.7,2017-01-20,55.15,57.59,155.0,0.5139,0.78
2016-01-20,198.7,2017-01-20,52.39,54.25,160.0,0.51061,0.81
2016-01-20,198.7,2017-01-20,49.51,51.86,165.0,0.51231,0.83
2016-01-20,198.7,2017-01-20,46.79,48.4,170.0,0.50543,0.86
2016-01-20,198.7,2017-01-20,43.9,45.76,175.0,0.50075,0.88
2016-01-20,198.7,2017-01-20,41.41,42.94,180.0,0.49715,0.91
2016-01-20,198.7,2017-01-20,38.8,40.54,185.0,0.49343,0.93
2016-01-20,198.7,2017-01-20,36.6,38.2,190.0,0.49195,0.96
2016-01-20,198.7,2017-01-20,34.09,35.81,195.0,0.4862,0.98
2016-01-20,198.7,2017-01-20,31.9,33.65,200.0,0.48345,1.01
2016-01-20,198.7,2017-01-20,27.96,29.8,210.0,0.47928,1.06
2016-01-20,198.7,2017-01-20,24.6,26.11,220.0,0.47427,1.11
2016-01-20,198.7,2017-01-20,21.55,24.29,230.0,0.48005,1.16
2016-01-20,198.7,2017-01-20,18.45,20.15,240.0,0.46509,1.21
2016-01-20,198.7,2017-01-20,15.8,17.35,250.0,0.45718,1.26
2016-01-20,198.7,2017-01-20,13.51,15.35,260.0,0.45443,1.31
2016-01-20,198.7,2017-01-20,11.79,13.41,270.0,0.45319,1.36
2016-01-20,198.7,2017-01-20,10.5,11.71,280.0,0.45227,1.41
2016-01-20,198.7,2017-01-20,8.55,10.26,290.0,0.44613,1.46
